ID,date_cer,kwh
2570,42546,3.076871899
2570,42547,0.532098228
2570,42548,0.061143291
2570,42601,0.044512405
2570,42602,0.055640506
2570,42603,0.044006582
2570,42604,0.061204557
2570,42605,0.055640506
2570,42606,0.044512405
2570,42607,0.055134684
2570,42608,0.061204557
2570,42609,0.044512405
2570,42610,0.055640506
2570,42611,2.780507848
2570,42612,5.233242532
2570,42613,4.445676456
2570,42614,3.524573165
2570,42615,3.512939241
2570,42616,4.034948354
2570,42617,0.205364051
2570,42618,0.044512405
2570,42619,0.055134684
2570,42620,0.055640506
2570,42621,0.050076456
2570,42622,0.055134684
2570,42623,0.055640506
2570,42624,0.044512405
2570,42625,0.061204557
2570,42626,0.055134684
2570,42627,0.044512405
2570,42628,0.055640506
2570,42629,0.061204557
2570,42630,0.055134684
2570,42631,0.044512405
2570,42632,0.055640506
2570,42633,0.060698734
2570,42634,4.556957468
2570,42635,5.949487595
2570,42636,3.574143797
2570,42637,3.579707848
2570,42638,4.023820253
2570,42639,3.996
2570,42640,3.5964
2570,42641,3.435548354
2570,42642,3.180107848
2570,42643,3.501811139
2570,42644,4.456804557
2570,42645,5.510939241
2570,42646,5.539265316
2570,42647,1.526067342
2570,42648,0.044512405
2570,42701,0.055264557
2570,42702,0.043709241
2570,42703,0.060791013
2570,42704,0.055264557
2570,42705,0.054762152
2570,42706,0.044211646
2570,42707,0.060791013
2570,42708,0.055264557
2570,42709,0.043709241
2570,42710,0.055264557
2570,42711,2.590902911
2570,42712,5.468679114
2570,42713,4.018235696
2570,42714,3.53341481
2570,42715,3.533917215
2570,42716,3.483676709
2570,42717,0.066317468
2570,42718,0.060288608
2570,42719,3.947396582
2570,42720,4.668850253
2570,42721,0.534558987
2570,42722,0.044211646
2570,42723,0.055264557
2570,42724,0.060791013
2570,42725,0.043709241
2570,42726,0.055264557
2570,42727,0.055264557
2570,42728,0.049738101
2570,42729,0.054762152
2570,42730,0.055264557
2570,42731,0.055264557
2570,42732,0.049235696
2570,42733,0.055264557
2570,42734,4.079529114
2570,42735,5.997209241
2570,42736,4.134793671
2570,42737,3.902682532
2570,42738,3.555520633
2570,42739,3.566573544
2570,42740,3.511308987
2570,42741,3.087279114
2570,42742,3.241015063
2570,42743,3.241517468
